Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,id,Valid
RVSN USSR,Kazakhstan,1957,19:28:00,Sputnik 8K71PS,Sputnik-1,Retired,,Success,1,1
RVSN USSR,Kazakhstan,1957,02:30:00,Sputnik 8K71PS,Sputnik-2,Retired,,Success,2,1
US Navy,USA,1957,16:44:00,Vanguard,Vanguard TV3,Retired,,Failure,3,1
AMBA,USA,1958,03:48:00,Juno I,Explorer 1,Retired,,Success,4,1
US Navy,USA,1958,07:33:00,Vanguard,Vanguard TV3BU,Retired,,Failure,5,1
AMBA,USA,1958,18:27:00,Juno I,Explorer 2,Retired,,Failure,6,1
US Navy,USA,1958,12:15:00,Vanguard,Vanguard 1,Retired,,Success,7,1
AMBA,USA,1958,17:38:00,Juno I,Explorer 3,Retired,,Success,8,1
RVSN USSR,Kazakhstan,1958,09:01:00,Sputnik 8A91,Sputnik-3 #1,Retired,,Failure,9,1
US Navy,USA,1958,02:53:00,Vanguard,Vanguard TV5,Retired,,Failure,10,1
RVSN USSR,Kazakhstan,1958,07:12:00,Sputnik 8A91,Sputnik-3 #2,Retired,,Success,11,1
US Navy,USA,1958,03:46:00,Vanguard,Vanguard SLV-1,Retired,,Failure,12,1
US Navy,USA,1958,05:00:00,Vanguard,Vanguard SLV-2,Retired,,Failure,13,1
US Navy,USA,1958,,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,,Failure,14,1
AMBA,USA,1958,15:00:00,Juno I,Explorer 4,Retired,,Success,15,1
US Navy,USA,1958,,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,,Failure,16,1
US Air Force,USA,1958,12:18:00,Thor-DM 18 Able I,Pioneer 0,Retired,,Failure,17,1
US Navy,USA,1958,,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,,Failure,18,1
AMBA,USA,1958,06:17:00,Juno I,Explorer 5,Retired,,Failure,19,1
US Navy,USA,1958,,NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,,Failure,20,1
US Navy,USA,1958,,NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,,Failure,21,1
US Navy,USA,1958,,NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,,Failure,22,1
RVSN USSR,Kazakhstan,1958,07:40:00,Vostok,E-1 nâ Â­1 (Luna-1),Retired,,Failure,23,1
US Navy,USA,1958,15:38:00,Vanguard,Vanguard SLV-3,Retired,,Failure,24,1
NASA,USA,1958,08:42:00,Thor-DM 18 Able I,Pioneer 1,Retired,,Partial Failure,25,1
RVSN USSR,Kazakhstan,1958,21:41:00,Vostok,E-1 nâ Â­2 (Luna-1),Retired,,Failure,26,1
AMBA,USA,1958,03:21:00,Juno I,Beacon 1,Retired,,Failure,27,1
NASA,USA,1958,07:30:00,Thor-DM 18 Able I,Pioneer 2,Retired,,Failure,28,1
RVSN USSR,Kazakhstan,1958,18:18:00,Vostok,E-1 nâ Â­3 (Luna-1),Retired,,Failure,29,1
AMBA,USA,1958,05:44:00,Juno II,Pioneer 3,Retired,,Partial Failure,30,1
US Air Force,USA,1958,23:02:00,SM-65B Atlas,SCORE,Retired,,Success,31,1
RVSN USSR,Kazakhstan,1959,16:41:00,Vostok,Luna-1,Retired,,Partial Failure,32,1
US Navy,USA,1959,15:55:00,Vanguard,Vanguard 2,Retired,,Success,33,1
US Air Force,USA,1959,21:49:00,Thor-DM18 Agena-A,Discoverer 1,Retired,,Failure,34,1
US Air Force,USA,1959,21:18:00,Thor-DM18 Agena-A,Discoverer 2,Retired,,Success,35,1
US Navy,USA,1959,02:49:00,Vanguard,Vanguard SLV-5,Retired,,Failure,36,1
US Air Force,USA,1959,20:09:00,Thor-DM18 Agena-A,Discoverer 3,Retired,,Failure,37,1
